Unicode,Caractere,Nome,Origem
U+00C8,È,LATIN CAPITAL LETTER E WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00C9,É,LATIN CAPITAL LETTER E WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00CA,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00CB,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00CC,Ì,LATIN CAPITAL LETTER I WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00CD,Í,LATIN CAPITAL LETTER I WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00CE,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00CF,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00D0,Ð,LATIN CAPITAL LETTER ETH,DejaVu Serif: base vetorial licenciada
U+00D1,Ñ,LATIN CAPITAL LETTER N WITH TILDE,DejaVu Serif: base vetorial licenciada
U+00D2,Ò,LATIN CAPITAL LETTER O WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00D3,Ó,LATIN CAPITAL LETTER O WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00D4,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00D5,Õ,LATIN CAPITAL LETTER O WITH TILDE,DejaVu Serif: base vetorial licenciada
U+00D6,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00D7,×,MULTIPLICATION SIGN,DejaVu Serif: base vetorial licenciada
U+00D8,Ø,LATIN CAPITAL LETTER O WITH STROKE,DejaVu Serif: base vetorial licenciada
U+00D9,Ù,LATIN CAPITAL LETTER U WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00DA,Ú,LATIN CAPITAL LETTER U WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00DB,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00DC,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00DD,Ý,LATIN CAPITAL LETTER Y WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00DE,Þ,LATIN CAPITAL LETTER THORN,DejaVu Serif: base vetorial licenciada
U+00DF,ß,LATIN SMALL LETTER SHARP S,DejaVu Serif: base vetorial licenciada
U+00E0,à,LATIN SMALL LETTER A WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00E1,á,LATIN SMALL LETTER A WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00E2,â,LATIN SMALL LETTER A WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00E3,ã,LATIN SMALL LETTER A WITH TILDE,DejaVu Serif: base vetorial licenciada
U+00E4,ä,LATIN SMALL LETTER A WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00E5,å,LATIN SMALL LETTER A WITH RING ABOVE,DejaVu Serif: base vetorial licenciada
U+00E6,æ,LATIN SMALL LETTER AE,DejaVu Serif: base vetorial licenciada
U+00E7,ç,LATIN SMALL LETTER C WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+00E8,è,LATIN SMALL LETTER E WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00E9,é,LATIN SMALL LETTER E WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00EA,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00EB,ë,LATIN SMALL LETTER E WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00EC,ì,LATIN SMALL LETTER I WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00ED,í,LATIN SMALL LETTER I WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00EE,î,LATIN SMALL LETTER I WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00EF,ï,LATIN SMALL LETTER I WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00F0,ð,LATIN SMALL LETTER ETH,DejaVu Serif: base vetorial licenciada
U+00F1,ñ,LATIN SMALL LETTER N WITH TILDE,DejaVu Serif: base vetorial licenciada
U+00F2,ò,LATIN SMALL LETTER O WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00F3,ó,LATIN SMALL LETTER O WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00F4,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00F5,õ,LATIN SMALL LETTER O WITH TILDE,DejaVu Serif: base vetorial licenciada
U+00F6,ö,LATIN SMALL LETTER O WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00F7,÷,DIVISION SIGN,DejaVu Serif: base vetorial licenciada
U+00F8,ø,LATIN SMALL LETTER O WITH STROKE,DejaVu Serif: base vetorial licenciada
U+00F9,ù,LATIN SMALL LETTER U WITH GRAVE,DejaVu Serif: base vetorial licenciada
U+00FA,ú,LATIN SMALL LETTER U WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00FB,û,LATIN SMALL LETTER U WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+00FC,ü,LATIN SMALL LETTER U WITH DIAERESIS,DejaVu Serif: base vetorial licenciada
U+00FD,ý,LATIN SMALL LETTER Y WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+00FE,þ,LATIN SMALL LETTER THORN,DejaVu Serif: base vetorial licenciada
