Unicode,Caractere,Nome,Origem
U+01D5,Ǖ,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01D7,Ǘ,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+01D9,Ǚ,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01DB,Ǜ,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+01DE,Ǟ,LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01E0,Ǡ,LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01E2,Ǣ,LATIN CAPITAL LETTER AE WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01E4,Ǥ,LATIN CAPITAL LETTER G WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01E6,Ǧ,LATIN CAPITAL LETTER G WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01E8,Ǩ,LATIN CAPITAL LETTER K WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01EA,Ǫ,LATIN CAPITAL LETTER O WITH OGONEK,Composição Unicode com base ornamental e sinais da base DejaVu
U+01EC,Ǭ,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01EE,Ǯ,LATIN CAPITAL LETTER EZH WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+01F1,Ǳ,LATIN CAPITAL LETTER DZ,Composição Unicode com base ornamental e sinais da base DejaVu
U+01F2,ǲ,LATIN CAPITAL LETTER D WITH SMALL LETTER Z,Composição Unicode com base ornamental e sinais da base DejaVu
U+01F4,Ǵ,LATIN CAPITAL LETTER G WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+01F6,Ƕ,LATIN CAPITAL LETTER HWAIR,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01F7,Ƿ,LATIN CAPITAL LETTER WYNN,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01F8,Ǹ,LATIN CAPITAL LETTER N WITH GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+01FA,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+01FC,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+01FE,Ǿ,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0200,Ȁ,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0202,Ȃ,LATIN CAPITAL LETTER A WITH INVERTED BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0204,Ȅ,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0206,Ȇ,LATIN CAPITAL LETTER E WITH INVERTED BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0208,Ȉ,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+020A,Ȋ,LATIN CAPITAL LETTER I WITH INVERTED BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+020C,Ȍ,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+020E,Ȏ,LATIN CAPITAL LETTER O WITH INVERTED BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0210,Ȑ,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0212,Ȓ,LATIN CAPITAL LETTER R WITH INVERTED BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0214,Ȕ,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0216,Ȗ,LATIN CAPITAL LETTER U WITH INVERTED BREVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0218,Ș,LATIN CAPITAL LETTER S WITH COMMA BELOW,Composição Unicode com base ornamental e sinais da base DejaVu
U+021A,Ț,LATIN CAPITAL LETTER T WITH COMMA BELOW,Composição Unicode com base ornamental e sinais da base DejaVu
U+021C,Ȝ,LATIN CAPITAL LETTER YOGH,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+021E,Ȟ,LATIN CAPITAL LETTER H WITH CARON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0220,Ƞ,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0222,Ȣ,LATIN CAPITAL LETTER OU,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0224,Ȥ,LATIN CAPITAL LETTER Z WITH HOOK,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0226,Ȧ,LATIN CAPITAL LETTER A WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0228,Ȩ,LATIN CAPITAL LETTER E WITH CEDILLA,Composição Unicode com base ornamental e sinais da base DejaVu
U+022A,Ȫ,LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+022C,Ȭ,LATIN CAPITAL LETTER O WITH TILDE AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+022E,Ȯ,LATIN CAPITAL LETTER O WITH DOT ABOVE,Composição Unicode com base ornamental e sinais da base DejaVu
U+0230,Ȱ,LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+0232,Ȳ,LATIN CAPITAL LETTER Y WITH MACRON,Composição Unicode com base ornamental e sinais da base DejaVu
U+023A,Ⱥ,LATIN CAPITAL LETTER A WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+023B,Ȼ,LATIN CAPITAL LETTER C WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+023D,Ƚ,LATIN CAPITAL LETTER L WITH BAR,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+023E,Ⱦ,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0241,Ɂ,LATIN CAPITAL LETTER GLOTTAL STOP,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0243,Ƀ,LATIN CAPITAL LETTER B WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0244,Ʉ,LATIN CAPITAL LETTER U BAR,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0245,Ʌ,LATIN CAPITAL LETTER TURNED V,Composição Unicode com base ornamental e sinais da base DejaVu
U+0246,Ɇ,LATIN CAPITAL LETTER E WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0248,Ɉ,LATIN CAPITAL LETTER J WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+024A,Ɋ,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+024C,Ɍ,LATIN CAPITAL LETTER R WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+024E,Ɏ,LATIN CAPITAL LETTER Y WITH STROKE,DejaVu Serif adaptada com gravura e ornamentação vetorial Peregrini
U+0300,̀,COMBINING GRAVE ACCENT,DejaVu Serif: base vetorial licenciada
U+0301,́,COMBINING ACUTE ACCENT,DejaVu Serif: base vetorial licenciada
